Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Press photographer,Finance,Decreasing,Moderate,65190.45,High School,10,6003,631,56.26,93.93,China,63.41,86.91,92.2,88.56,90.28,88.95
Training and development officer,Education,Decreasing,Moderate,71482.53,High School,10,9182,1082,33.55,46.3,Canada,66.03,47.84,42.25,45.94,45.8,53.37
Recruitment consultant,Healthcare,Increasing,Moderate,76519.05,Master’s Degree,14,7548,8483,73.97,93.74,Brazil,28.54,90.88,89.16,88.79,96.48,100
Lexicographer,Education,Increasing,Moderate,49732.12,Associate Degree,11,2852,1133,83.89,98.68,USA,28.96,100,94.49,100,93.04,98.08
"Loss adjuster, chartered",Finance,Decreasing,Moderate,90905.86,PhD,16,8113,2324,19.57,90.42,UK,23.22,78.64,85.81,82.56,87.74,94.81
Health and safety adviser,Healthcare,Decreasing,High,131271.35,High School,14,6453,9679,51.55,45.25,Australia,34.76,38.92,40.98,45.64,42.61,41.03
Nature conservation officer,Finance,Increasing,Low,87560.58,PhD,15,3078,8071,5.16,78.73,Canada,43.17,72.92,75.47,78.6,70.12,80.08
Paediatric nurse,IT,Decreasing,High,78914.57,High School,17,9362,3155,39.39,99.57,Australia,44.28,90.7,82.33,92.52,96.16,93.72
Audiological scientist,Finance,Increasing,High,36488.93,High School,11,7883,389,4.18,64.58,Australia,49.85,53.16,58.16,59.81,54.14,60.63
"Designer, fashion/clothing",Finance,Increasing,High,39738.85,Associate Degree,9,8482,8616,47.29,61.38,Brazil,48.98,50.86,50.66,59.56,61.41,54.96
Tax inspector,Entertainment,Increasing,High,112314.57,Associate Degree,15,6547,8928,95.56,68.66,China,72.11,61.52,65,68.29,69.17,66.09
Communications engineer,Transportation,Decreasing,Moderate,84103.93,PhD,7,4359,9106,40.91,81.71,Australia,44.24,77.05,82.03,77.08,76.07,85.16
Oceanographer,Manufacturing,Increasing,High,60341.63,Bachelor’s Degree,5,5566,9049,87.06,54.38,Brazil,21.35,45.9,44.82,52.17,54.54,57.15
Theatre manager,Healthcare,Increasing,Low,79834.33,High School,6,8316,7077,32.61,57.96,India,38.46,58.01,58.83,53.08,58.35,59.4
"Presenter, broadcasting",Healthcare,Decreasing,High,64503.13,Master’s Degree,20,1775,1807,72.22,4.71,Australia,30.51,0,1.6,4.28,4.59,5.9
Fast food restaurant manager,Manufacturing,Decreasing,High,112139.59,High School,20,1683,3129,83.8,41.19,USA,20.87,34.56,41.21,36.58,35.12,39.82
"Producer, radio",IT,Increasing,Low,54376.84,Master’s Degree,10,3175,5024,12.91,25.44,Germany,57.89,19.97,19.32,23.17,28.86,25.53
Veterinary surgeon,Manufacturing,Increasing,Moderate,148510.67,Associate Degree,20,6981,988,17.84,39.63,Australia,76.25,37.95,38.41,35.63,35.22,38.43
"Engineer, technical sales",Retail,Decreasing,High,40914.17,Associate Degree,13,1920,1981,6.76,80.32,USA,52.11,74.52,80.72,73.86,78.1,79.14
"Engineer, mining",Healthcare,Decreasing,Low,126166.35,Associate Degree,19,580,6838,18.83,27.31,Canada,63.49,24.54,26.89,26.6,29.66,27.24
"Conservator, furniture",IT,Decreasing,High,97607.06,PhD,2,207,7509,86.18,2.6,India,69.67,0,0,0,0,0
Health service manager,IT,Decreasing,High,142067.75,PhD,12,5522,6544,0.67,47.54,Germany,37.26,40.65,35.28,43.17,39.86,45.53
Multimedia programmer,Healthcare,Increasing,High,91593.09,Master’s Degree,16,1040,880,40.38,87.52,Germany,26.42,83.6,85.46,79.22,90.12,84.88
"Scientist, research (life sciences)",Healthcare,Decreasing,Low,133448,Bachelor’s Degree,10,113,7957,5.13,25.03,Brazil,29.73,20.87,24.39,23.72,22.57,23.69
Neurosurgeon,IT,Decreasing,Low,133239.92,Master’s Degree,5,2058,1942,9.82,34.46,India,28.96,21.99,29.75,30.24,31.2,31.49
Retail banker,Entertainment,Increasing,Low,109570.83,PhD,4,473,4100,99.9,10.47,USA,74.73,8.08,8.44,8.88,7.17,8.58
Probation officer,Entertainment,Increasing,Low,31131.63,Associate Degree,2,8114,6682,21.59,21.99,UK,77.49,12.43,20.1,22.76,16.1,23.43
Systems analyst,Healthcare,Increasing,Moderate,101604.36,High School,12,1204,6165,78.16,91.16,China,21.42,93.11,84.94,100,85.99,88.55
"Production assistant, television",Entertainment,Increasing,High,34585.33,High School,17,4719,8916,92.88,69.85,China,27.08,62.45,66.54,62.93,65.49,63.71
Health visitor,Education,Increasing,Low,136101.58,Master’s Degree,20,3903,9338,43.84,45.7,UK,67.65,44.27,48.16,44.05,46.96,44.32
Dance movement psychotherapist,Transportation,Decreasing,High,61347.41,Master’s Degree,20,6632,8329,63.33,17.68,Germany,26.13,14.24,12.62,11.63,15.27,15.94
Social worker,Retail,Increasing,Low,96430.04,Associate Degree,13,4253,3828,15.17,89.42,Australia,73.82,85.28,88.55,81.02,87.37,93.29
Industrial/product designer,Finance,Decreasing,Moderate,138894.67,Bachelor’s Degree,6,6356,7161,85.16,78.39,Brazil,50.62,77.42,70.78,68.46,81.78,73.68
Personal assistant,Finance,Decreasing,High,108287.48,Master’s Degree,7,611,6595,21.49,13.97,USA,26.44,5.36,6.15,9.14,9.71,14.02
"Engineer, control and instrumentation",IT,Decreasing,Moderate,84520.28,Associate Degree,19,8779,1792,93.16,5.24,UK,28.77,0,0,0,0.34,2.65
Charity officer,Finance,Increasing,Moderate,47997.35,PhD,8,660,7796,64.34,86.71,Canada,60.51,83.09,83.21,89.59,81.56,81.05
Electronics engineer,Entertainment,Decreasing,Moderate,131746.18,Master’s Degree,1,8026,9539,73.93,5.1,China,64.78,0.05,0,2.25,2.13,7.33
Administrator,Entertainment,Decreasing,Moderate,114896.54,High School,10,5592,5086,66.14,87.51,UK,76.83,81.63,91.84,86.28,88.59,88.25
Dietitian,Entertainment,Decreasing,Low,121188.64,Bachelor’s Degree,3,1352,8046,96.34,16.26,UK,43.4,9.7,16.18,15.72,15.01,12.79
Historic buildings inspector/conservation officer,IT,Increasing,Low,56777.24,Bachelor’s Degree,0,7743,4617,70.45,76.82,UK,41.39,65.14,71.6,77.03,75.04,77.01
Production manager,Finance,Decreasing,Low,65622.78,Associate Degree,4,1445,5804,55.82,12.92,Germany,72.34,11.57,11.19,11.69,12.54,12.89
"Engineer, structural",IT,Increasing,Moderate,106117.72,PhD,0,2230,7721,48.19,80.99,UK,43.28,75.84,76.97,78.71,91.99,79.07
Energy manager,Finance,Increasing,Low,36777.97,PhD,4,5788,4724,85.32,75.28,Australia,53.7,62.66,67.87,76.98,75.09,73.36
Exercise physiologist,Manufacturing,Decreasing,Low,74789.11,Associate Degree,17,7351,253,0.65,80.07,UK,53.27,78.92,81.47,80.53,84.53,86.87
Chiropractor,Education,Decreasing,High,60814.06,Master’s Degree,19,9924,3477,3.27,42.44,India,41.24,41.76,39.68,44.24,39.1,38.56
"Engineer, mining",Retail,Increasing,High,95863.53,Associate Degree,13,5829,2937,25.3,49.29,Canada,41,39.94,43.86,42.58,47.94,50.03
"Teacher, secondary school",Healthcare,Decreasing,High,93847.98,High School,20,3125,8846,19.24,64.95,Australia,25.36,67.39,60.64,66.54,64.31,66.6
Chief Operating Officer,Entertainment,Decreasing,Low,65952.6,Associate Degree,7,8590,2287,87.91,41.45,USA,70.18,43.06,40.91,37.28,37,36.76
Energy manager,Entertainment,Increasing,Low,38453.72,PhD,13,9649,8776,45.03,72.91,China,48.6,62.92,68.51,71.59,71.61,69.94
"Designer, television/film set",Education,Increasing,Low,139166.96,Master’s Degree,9,1863,4997,47.78,71.31,Canada,44.18,62.77,74.65,67.71,72.51,67.22
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low,100357.04,Bachelor’s Degree,15,2608,8026,12.92,81.56,USA,79.28,71.67,76.92,81.68,73.48,79.61
Educational psychologist,Healthcare,Increasing,High,124961.62,PhD,2,3057,9244,60.43,95.18,China,38.16,90.75,90.22,87.4,92.97,91.34
Telecommunications researcher,Entertainment,Decreasing,Moderate,100500.85,Bachelor’s Degree,3,1901,3172,76.06,90.83,Australia,62.24,79.68,91.79,91.98,86.14,87.32
"Sales professional, IT",Education,Decreasing,Moderate,114697.58,Associate Degree,16,3500,7301,50.3,94.38,Australia,67.06,91.45,96.07,98.57,87.01,98
Human resources officer,IT,Increasing,Low,83929.13,Bachelor’s Degree,3,9386,6319,78.51,51.28,Australia,43.47,46.39,46.56,44.46,48.7,49.86
"Radiographer, diagnostic",Healthcare,Increasing,Low,50132.04,Associate Degree,16,3667,7590,8.34,88.69,China,23.58,85.14,86.3,91.89,89.15,92.26
Multimedia specialist,Education,Decreasing,High,97096.82,Bachelor’s Degree,0,3086,1964,60.93,6.83,Canada,55.38,1.14,3.62,4.03,6.5,6.59
Fast food restaurant manager,Finance,Decreasing,High,107213.99,PhD,17,6676,2588,86.69,81.59,Germany,43.77,76.81,81.69,77.81,78.34,79.01
Chief Strategy Officer,Entertainment,Increasing,Low,117807,High School,15,6449,609,89.1,4.29,Canada,22.22,0,0,0,2.01,2.95
"Programmer, multimedia",IT,Decreasing,Moderate,138325.46,PhD,16,6459,545,59.29,35.65,Australia,29.71,32.59,29.91,31.54,30.72,33.79
Patent attorney,Retail,Increasing,Low,103653.18,High School,1,5859,1611,55.16,85.69,Brazil,56.12,73.56,85.78,82.12,79.48,84.37
Nutritional therapist,Healthcare,Increasing,Low,138149.79,PhD,1,1272,1925,56.21,88.86,Canada,48.54,89.54,90.4,95.09,87.51,83.69
"Restaurant manager, fast food",Retail,Increasing,High,120894.86,PhD,7,8350,4359,35.17,10.71,Germany,43.18,5.49,7.81,8.1,8.61,10.88
"Clinical scientist, histocompatibility and immunogenetics",Finance,Increasing,Low,54586.21,Associate Degree,18,7414,7257,74.84,25.87,Brazil,61.93,20.88,22.66,23.97,18.17,23.51
"Engineer, civil (contracting)",Healthcare,Decreasing,Low,46140.95,High School,9,5700,3553,96.6,82.57,India,38.98,75.45,75.36,75.72,82.14,84.28
Child psychotherapist,Entertainment,Increasing,Moderate,52439.8,Associate Degree,0,5571,9051,82.99,8.55,Germany,49.95,1.55,2.65,6.26,8.3,8.25
"Buyer, industrial",Education,Increasing,Moderate,81019.55,Master’s Degree,4,8957,5124,21.7,43.91,Australia,79.35,44.15,41.39,44.6,41.97,44.4
"Administrator, arts",Finance,Decreasing,Low,142450.21,High School,18,2496,4909,83.91,31.97,USA,41.95,24.96,32.11,33.67,30.74,35.2
Landscape architect,Education,Decreasing,Moderate,124541,Bachelor’s Degree,16,6077,6108,18.08,37.55,Canada,59,36.27,35.29,34.87,41.44,36.65
"Engineer, manufacturing",IT,Decreasing,High,77491.34,Master’s Degree,16,4220,4023,51.73,26,Canada,63.32,16.23,20.32,21.02,21.42,26.19
Cytogeneticist,Retail,Increasing,Low,123832.51,Bachelor’s Degree,1,1255,3992,41.94,32.49,Canada,41.82,25.43,29.75,30.68,30.87,33.92
Chief Technology Officer,Retail,Increasing,Moderate,71697.11,High School,19,5902,9295,60.73,78.81,China,49.53,71.08,74.75,85.8,79.79,81.74
Structural engineer,Healthcare,Increasing,Low,122781.68,High School,7,9341,9737,27.25,48.16,Canada,58.62,45.74,50.55,42.24,50.63,47.02
"Engineer, materials",IT,Increasing,Low,111876.76,PhD,15,7141,4651,43.98,69.01,China,61.54,61.34,62.14,65.58,70.4,63.59
"Scientist, forensic",Finance,Increasing,Low,140482.54,Master’s Degree,7,9318,569,73.24,27.36,Brazil,41.38,26.63,21.67,24.02,24.39,26.62
Lawyer,Finance,Decreasing,High,110879.58,PhD,6,3518,3842,44.36,60.41,Australia,61.85,50.45,52.25,51.71,57.72,54.42
Lawyer,Healthcare,Decreasing,Low,63310.65,High School,16,9793,4893,26.91,72.39,USA,71.29,69.21,67.04,67.18,68.8,68.81
Chief Financial Officer,Manufacturing,Decreasing,Low,84654.64,Associate Degree,5,6985,3272,36.5,4.37,China,52.87,2.29,1.22,4.83,2.13,3.51
"Therapist, music",IT,Increasing,High,136500.36,High School,7,5883,2919,7.58,59.4,Canada,27.31,47.88,51.2,53.46,55.34,59.54
Arboriculturist,IT,Increasing,Moderate,34355.01,Master’s Degree,3,2565,4582,86.69,36.42,China,27.46,29.07,31.06,35.01,32.64,38.24
Chartered certified accountant,Healthcare,Increasing,Moderate,46549.72,PhD,15,5413,6384,45.71,87.15,Germany,39.29,84.82,73.7,86.14,91.75,89
"Surveyor, mining",Manufacturing,Increasing,High,35904.84,Master’s Degree,9,6862,8281,15.96,83.52,Canada,65.67,77.86,77.19,86.94,81.77,77.78
"Lecturer, higher education",Education,Decreasing,Moderate,144764.01,Master’s Degree,0,3039,4664,3.3,23.75,Australia,56.66,21.51,19.87,17.05,22.78,23.37
"Therapist, sports",Entertainment,Increasing,High,141316.89,Bachelor’s Degree,15,3584,4319,62.11,66.28,Brazil,57.08,58.58,59.9,62.86,61.32,61.07
"Engineer, technical sales",Retail,Increasing,Moderate,134088.87,Associate Degree,20,2661,2080,91.21,74.06,Germany,67.4,64.75,68.99,72.33,63.89,74.98
Arboriculturist,Manufacturing,Increasing,Low,92958.1,Associate Degree,14,3262,490,13.34,44.91,USA,24.55,41.25,40.98,47.42,47.1,45.87
"Administrator, arts",Manufacturing,Increasing,Low,73993.63,High School,16,7442,9986,26.44,84.74,UK,22.31,77.75,87.34,78.89,82.38,85.15
Environmental health practitioner,Retail,Increasing,Low,59491.8,Bachelor’s Degree,15,4637,4088,49.59,81.58,China,20.34,70.13,80.03,76.39,78.49,76.26
Computer games developer,Manufacturing,Increasing,Low,50645.88,High School,4,4402,2415,64.66,43.31,Germany,73.12,43.49,40.09,41.64,46.74,45.43
Facilities manager,Manufacturing,Increasing,High,57047.49,High School,3,4611,7657,14.1,26.51,Germany,71.29,21.43,20.7,21.72,25.43,23.33
"Research officer, government",Manufacturing,Increasing,High,145744.03,High School,11,1664,7214,70.91,15.77,UK,66.22,6.85,10.07,13.45,12.46,16.76
Air traffic controller,Manufacturing,Decreasing,Moderate,81290.96,Associate Degree,1,9012,6238,59.29,34.64,USA,73.84,28.98,30.96,30.29,32.68,30.98
"Investment banker, corporate",Healthcare,Decreasing,Low,44286.59,Master’s Degree,0,2341,8895,57.59,75.87,China,52.74,78.67,77.87,69.56,78.94,80.75
"Optician, dispensing",Healthcare,Decreasing,Low,97808.93,High School,6,8227,9020,38.73,23.78,Australia,32.92,22.96,24.77,22.73,24.36,24.44
Charity officer,Finance,Increasing,Low,86528.3,Associate Degree,3,5427,242,62.5,50.77,Australia,41.62,43.77,50.02,49.35,45.89,45
"Engineer, automotive",Transportation,Decreasing,Low,99887.59,Master’s Degree,7,440,5657,90.17,5.85,USA,57.84,2.8,2.81,1.66,6.49,5.92
Furniture designer,Education,Decreasing,High,117019.35,PhD,12,8135,2350,68.05,91.78,India,58.19,90.5,89.83,84.61,85.93,96.34
Contractor,Transportation,Increasing,Moderate,46747.32,Bachelor’s Degree,15,5759,8655,87.91,94.23,USA,61.61,90.19,85.67,90.83,94.36,90.95
Communications engineer,Education,Decreasing,Low,76355.9,Associate Degree,6,7922,9199,61.5,79.29,Germany,36.42,78.34,81.9,85.01,71.6,82.46
Chartered legal executive (England and Wales),IT,Decreasing,High,74615.97,Master’s Degree,4,4031,5397,59.31,34.09,UK,40.61,25.6,27.11,26.02,31.29,30.83
Horticultural consultant,Manufacturing,Increasing,Moderate,126861.61,Master’s Degree,5,8394,6349,83.45,74.48,Canada,63.39,72.09,72.98,76.8,75.9,66.55
Early years teacher,Manufacturing,Decreasing,High,136356.78,Associate Degree,0,7704,8985,15.64,66.72,USA,58.77,61.69,67.18,58.43,64.22,66.85
Licensed conveyancer,Entertainment,Increasing,Low,123372.91,High School,16,7087,2603,80.56,81.68,Germany,26.72,69.25,80.24,77.11,80.94,81.88
"Engineer, structural",Healthcare,Decreasing,Low,48091.83,High School,11,9409,1653,66.82,41.85,Canada,37.78,39.05,40.15,37.71,40.67,39.85
Writer,Healthcare,Increasing,Low,84437.67,PhD,8,8083,380,96.38,53.72,Brazil,33.93,52.78,52.15,49.16,50.42,50.84
"Lighting technician, broadcasting/film/video",Transportation,Decreasing,High,30200.34,Bachelor’s Degree,10,6040,2345,11.47,45.67,Brazil,68.98,38.94,40.82,41.49,43.45,42.79
Maintenance engineer,Entertainment,Increasing,Low,77917.98,PhD,20,9309,2406,22.21,43.93,USA,79.27,38.16,37.26,40.79,40.76,49.71
Merchant navy officer,Transportation,Increasing,High,49836.68,Master’s Degree,11,4587,2334,79.46,9.72,India,34.9,6.85,5.38,4.21,6.97,8.9
Statistician,Finance,Decreasing,High,127712.83,Associate Degree,15,6197,3278,39.51,37.27,Canada,75.88,23.73,30.95,29.11,33.27,33.47
Art gallery manager,Entertainment,Decreasing,Low,108388.86,High School,19,7769,9232,10.22,52.01,Australia,76.95,48.21,47.84,50.54,52.9,53.03
Dancer,Manufacturing,Increasing,Moderate,113887.75,High School,1,1981,8564,90.91,73.81,Germany,37.99,76.7,68.87,76.6,68.45,66.48
Musician,Education,Increasing,Moderate,128867.33,Master’s Degree,20,1282,2265,57.31,62,Canada,55.8,61.28,65.05,57.78,62.77,58.84
Diagnostic radiographer,Entertainment,Decreasing,Moderate,48404.15,High School,1,2729,9301,81.34,91.29,Australia,33.18,90.92,91.73,89.82,84.48,91.98
Hydrologist,Retail,Increasing,High,85247.74,High School,7,2481,9780,94.61,50,Australia,54.42,39.11,45.32,44.08,47.96,48.94
"Programmer, multimedia",Manufacturing,Increasing,Moderate,112961.45,Associate Degree,6,7459,6646,71.81,5.34,India,32.82,1.58,0,0.99,6.69,5.93
Animal nutritionist,IT,Decreasing,Low,61546.54,High School,11,3112,4964,81.09,40.06,India,56.46,35.61,31.7,37.75,38.92,37.83
Product/process development scientist,IT,Decreasing,Moderate,121435.03,Bachelor’s Degree,7,297,3657,81.17,0.89,Canada,39.79,0,0,0,0,0.88
"Teacher, early years/pre",Education,Decreasing,Moderate,111110.52,High School,16,8980,6764,52.23,58.65,Australia,68.34,58.01,53.66,51.71,57.44,61.3
Manufacturing engineer,Finance,Decreasing,High,131185.71,PhD,16,2758,9303,77.34,36.57,India,48.85,31.38,27.65,32.75,31.56,34.3
Microbiologist,Retail,Decreasing,Low,116303.05,Master’s Degree,13,3005,3815,61.95,11.06,Canada,38.58,5.57,9.83,10.1,7.63,9.85
Best boy,Retail,Decreasing,High,120796.11,Associate Degree,11,5360,100,96.01,41.42,India,59.07,31.31,32.09,34.3,39.12,38.84
Rural practice surveyor,Education,Decreasing,Low,56330.62,High School,7,8049,4724,95.1,98.2,USA,31.97,96.64,94.4,100,95.9,100
Pharmacologist,Entertainment,Increasing,High,42512.39,PhD,15,9771,3224,80.82,23.45,Germany,36.07,15.89,19.54,19.39,18.13,25.56
Amenity horticulturist,Healthcare,Decreasing,Moderate,113941.25,Bachelor’s Degree,0,3551,4257,86.91,43.43,Australia,21.48,45.36,40.81,40.99,44.85,42.74
Midwife,IT,Increasing,Low,46806.1,Bachelor’s Degree,16,3038,3248,3.85,10.61,Brazil,75.16,6.62,6.86,7.76,7.33,8.45
Artist,Entertainment,Decreasing,High,76188.95,PhD,10,9553,3122,0.25,34.66,USA,54.24,30.83,33.13,31.17,35.3,31.39
Radio producer,Entertainment,Increasing,High,54417.98,Bachelor’s Degree,1,4050,8925,67.92,2.98,Australia,42.04,0,0,0,0,1.34
"Engineer, drilling",Manufacturing,Decreasing,High,36748.09,Associate Degree,20,5673,9470,80.47,66.56,Canada,77.52,52.22,57.89,57.28,62.8,61.8
Acupuncturist,Retail,Increasing,Moderate,72959.41,Bachelor’s Degree,14,9019,4168,89.84,36.58,Australia,48.01,27.57,30.32,33.32,42.51,35.3
Retail buyer,IT,Decreasing,Low,110758.78,Master’s Degree,16,4019,2759,6.31,11.56,Australia,78.9,5.62,4.78,6.39,11.06,13.14
Theatre director,Manufacturing,Increasing,High,58373.11,Associate Degree,3,503,510,4.88,21.28,UK,57.61,14.1,17.47,23.63,23.24,20.77
Marketing executive,IT,Increasing,Moderate,125401.34,Associate Degree,8,2706,7294,54.95,24.93,UK,28.35,15.28,16.66,15.62,21.89,27.37
English as a foreign language teacher,Healthcare,Decreasing,High,148091.59,Master’s Degree,12,4656,3194,40.25,96.74,Brazil,75.93,89.77,92.37,94.06,95.24,91.96
Personnel officer,Healthcare,Decreasing,Low,61808.99,Master’s Degree,5,3998,8198,20.92,87.31,UK,50.66,84.58,86.91,87.97,87.88,83.6
Pensions consultant,IT,Increasing,Low,35112.88,Bachelor’s Degree,8,7725,9844,28.35,16.04,USA,22.86,10.66,12.46,14.96,14.98,12.91
Manufacturing systems engineer,Transportation,Decreasing,Moderate,31020.33,Bachelor’s Degree,11,9164,212,70.43,16.05,India,56.14,11.18,12.85,14,15.26,16.13
Adult nurse,Education,Decreasing,Low,68014.47,High School,10,3672,3761,74.23,71.65,Australia,26.58,64.2,66.56,74.91,67.41,72.36
Aeronautical engineer,Finance,Decreasing,High,99843.4,Associate Degree,19,3200,5611,74.66,42.96,UK,26.3,33.42,39.48,41.3,37.27,43.36
Environmental education officer,Finance,Decreasing,High,125352.75,Associate Degree,8,2916,6151,32.45,43.38,UK,51.57,38.01,38.78,38.05,35.44,45.08
Charity officer,IT,Decreasing,Low,109172.25,PhD,5,3216,9291,7.1,72.84,India,29.81,65.3,67.81,71.41,67.01,67.68
Accounting technician,Manufacturing,Increasing,Low,59891.57,Bachelor’s Degree,11,7392,5529,61.56,24.43,China,75.27,19.72,20.12,20.3,23.29,24.34
"Surveyor, planning and development",Finance,Increasing,Moderate,115146.46,High School,6,1893,7327,89.83,54.26,Brazil,40.28,46.08,49.64,42.08,52.78,53.27
Television production assistant,IT,Decreasing,Moderate,113262.81,Associate Degree,7,1827,5597,60.39,79.65,USA,54.01,76.39,75.11,77.26,73.92,71.32
Homeopath,Entertainment,Increasing,Moderate,94496.25,PhD,5,6954,3681,22.83,50.07,USA,24.85,45.02,41.45,47.24,49.52,48.75
General practice doctor,Education,Increasing,High,105125.53,Associate Degree,12,3664,963,97.45,50.59,USA,25.25,44.38,53.21,47.76,52.31,54.6
Senior tax professional/tax inspector,Retail,Increasing,High,33518.3,PhD,0,5913,6384,33.36,50.62,India,25.93,48.67,47.98,52.38,49.36,52.49
Conference centre manager,Healthcare,Decreasing,Low,80670.34,High School,16,8695,5190,68.78,86.4,Canada,78.79,85.17,81.24,85.89,79.71,86.4
